"CÓDIGO ÓRGÃO SUPERIOR";"NOME ÓRGÃO SUPERIOR";"CÓDIGO ÓRGÃO";"NOME ÓRGÃO";"CÓDIGO UNIDADE GESTORA";"NOME UNIDADE GESTORA";"CATEGORIA ECONÔMICA";"ORIGEM RECEITA";"ESPÉCIE RECEITA";"DETALHAMENTO";"VALOR PREVISTO ATUALIZADO";"VALOR LANÇADO";"VALOR REALIZADO";"PERCENTUAL REALIZADO";"DATA LANÇAMENTO";"ANO EXERCÍCIO"
"25000";"Ministério da Economia";"30204";"Instituto Nacional da Propriedade Industrial";"183038";"INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL";"Receitas Correntes - intra-orçamentárias";"Receita de Serviços";"Sem informação";"Sem informação";"0,00";"0,00";"2190,00";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"REC DE PARCELAMENTOS - DIV ATIVA DO IMP EXP";"0,00";"0,00";"276571,34";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"30204";"Instituto Nacional da Propriedade Industrial";"183038";"INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL";"Receitas Correntes - intra-orçamentárias";"Receita de Serviços";"Sem informação";"Sem informação";"3893,00";"0,00";"0,00";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes - intra-orçamentárias";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"Sem informação";"0,00";"0,00";"65934,46";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"REC PARC - MULTA/JUROS DE MORA DIV ATIVA CPMF";"0,00";"0,00";"11559,99";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes - intra-orçamentárias";"Receita de Serviços";"Sem informação";"Sem informação";"0,00";"0,00";"233,60";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes";"Contribuições";"Contribuições econômicas";"CONTR-EMP.INSTALADAS DEMAIS REGIOES-RESIDUAL";"6657336,00";"0,00";"0,00";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"30204";"Instituto Nacional da Propriedade Industrial";"183038";"INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL";"Receitas Correntes";"Receita de Serviços";"Sem informação";"SERVICOS DE REGISTRO PROGRAMA DE COMPUTADOR";"488206,00";"0,00";"0,00";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes";"Outras Receitas Correntes";"Multas administrativas, contratuais e judicia";"REC PARC - MULTA/JUROS DE MORA DIV ATIVA CPMF";"0,00";"0,00";"15413,32";"0,00";"31/12/2014";"2014"
"25000";"Ministério da Economia";"25000";"Ministério da Economia - Unidades com vínculo direto";"170013";"SETORIAL ORÇAMENTÁRIA E FINANCEIRA / ME";"Receitas Correntes";"Outras Receitas Correntes";"Bens, Direitos e Valores Incorporados ao Patr";"REC DE PARCELAMENTOS - DIV ATIVA DO IMP EXP";"1584105,00";"0,00";"0,00";"0,00";"31/12/2014";"2014"
